,Dallas
11,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
12,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
13,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
14,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
15,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
16,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
17,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
18,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
19,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
20,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
21,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
22,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
23,"[-8.04159871e-01 -3.79719987e-01  9.55795937e-02  5.73133831e-01
  1.06443942e+00 -1.44288180e-01 -2.43679871e-01 -1.66524900e-01
  2.93323311e-01  8.10443228e-01  8.26575824e-01  3.99249748e-01
  2.70081596e-02 -2.35004719e-01 -4.68554016e-01  4.70884376e-01
  2.75161484e-01  1.04109450e-01 -7.38223432e-02 -2.27057875e-01
  5.38767368e-01  4.41368914e-01  2.67116570e-01 -1.47841814e-01
 -5.50138120e-01 -1.20228493e+00 -5.56702641e-01  1.33071847e-01
  7.64935710e-01  1.41025576e+00 -4.35801040e-01 -3.40720400e-01
 -1.25481876e-01  4.28153409e-01  1.02312246e+00  6.98410189e-01
  3.72882607e-01  5.19174526e-03 -1.93858876e-01 -3.33347797e-01
 -2.38268487e-01  9.96689776e-02  2.46976998e-01  2.24417486e-01
  2.16476250e-01  2.86047300e-01  1.00421122e-01 -7.31193620e-04
  5.77761345e-02  1.05760346e-01  4.69834838e-01  2.89844943e-01
  1.09855048e-01 -7.01348480e-02 -2.50124743e-01  2.16814625e-01
  1.67279853e-01  1.36084979e-01  5.83036055e-02 -2.92139864e-02
  6.49904290e-01  2.50733755e-01  5.79864071e-02 -1.06868868e-01
 -3.02482731e-01  1.10131928e-01  1.01037194e-02  7.33210200e-02
  1.48534275e-01  2.07181800e-01 -2.03500533e-01  6.90316064e-02
  2.09534240e-01  2.29661980e-01  2.44547330e-01  2.34583585e-01
  1.20339130e-01 -1.03479116e-02  6.81801627e-02  1.36521608e-01
  3.02133579e-01  2.66514091e-01  2.08494751e-01  6.06829800e-03
 -2.33939023e-01  5.49280311e-01]"
24,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
25,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
26,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
27,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
28,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
29,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
30,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
31,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
32,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
33,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
34,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
35,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
36,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
37,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
38,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
39,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
40,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
41,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
42,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
43,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
44,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
45,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
46,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
47,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
48,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
49,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
50,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
51,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
52,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
53,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
54,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
55,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
56,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
57,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
58,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
59,"[ 8.12924046e+00  4.05670517e+00 -1.03937278e-02 -4.09842571e+00
 -8.20311141e+00  4.78397859e+00  2.37675800e+00 -2.19858331e-02
 -2.42156266e+00 -4.84317423e+00 -5.30756658e+00 -2.66366252e+00
 -1.33235064e-02  2.62141601e+00  5.23714892e+00 -3.11419573e-02
 -4.36678023e-02 -4.63072253e-02 -1.42545419e-02  9.38433823e-03
 -2.50436232e+00 -1.35448881e+00 -1.50571803e-01  1.24623387e+00
  2.63720162e+00  5.43625922e+00  2.65905488e+00 -9.15286690e-02
 -2.73710206e+00 -5.39266990e+00  6.38113822e+00  3.16769200e+00
 -4.64020392e-02 -3.22673541e+00 -6.40168040e+00 -3.94557350e+00
 -1.90773731e+00  7.35289597e-02  1.91339097e+00  3.74040243e+00
 -2.05012562e-01 -9.49393531e-02  6.71577419e-03  6.82868648e-02
  9.89619174e-02 -5.08065800e-01 -3.52437291e-01 -1.49398809e-01
  2.30293091e-01  6.53621996e-01 -5.61042716e-01 -2.93120077e-01
 -2.51974369e-02  2.42725203e-01  5.10647842e-01  2.02229813e-01
  7.15422902e-02 -4.78566176e-02 -1.32874569e-01 -2.19028296e-01
 -1.72779341e+00 -8.15825760e-01  6.21232773e-02  8.11882501e-01
  1.54362615e+00  1.78582379e+00  9.34662195e-01  5.23057012e-02
 -9.43338262e-01 -1.95544045e+00  2.87070714e-01  1.37772289e-01
  7.12341321e-03 -1.73683517e-01 -3.84270170e-01 -2.16265912e-01
 -1.04513841e-01 -2.09638437e-02  5.55358314e-02  1.60220046e-01
  5.97327575e-02  2.61490853e-02  7.54197456e-03 -6.08954535e-02
 -1.58515933e-01 -1.25987339e-01]"
60,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
61,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
62,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
63,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
64,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
65,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
66,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
67,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
68,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
69,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
70,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
71,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
72,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
73,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
74,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
75,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
76,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
77,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
78,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
79,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
80,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
81,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
82,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
83,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
