,Dallas
84,"[ 3.14535362e+00  1.96712877e+00  7.88903399e-01 -3.90982434e-01
 -1.87003287e+00 -4.30776039e+00 -6.49938780e+00 -6.78153791e+00
 -4.80289741e+00 -1.70759389e+00 -1.03180095e+00 -2.09369407e+00
 -1.98630579e-01 -1.64430562e-02  8.61298083e-01  4.32263049e+00
  4.32442237e+00  3.98056926e+00  2.76586265e+00  1.50883222e+00
 -1.09555355e+01 -8.50037602e+00 -6.04851859e+00 -3.76992171e+00
 -2.47913594e+00 -3.22761684e+00 -3.39569219e+00 -3.14100560e+00
 -2.26951554e+00 -5.18579243e-02  1.72336997e+00  3.64247185e+00
  3.95536868e+00  3.01777791e+00  2.09915324e+00  3.71746130e+00
  4.90061208e+00  4.16828639e+00  4.91520134e+00  5.66371226e+00
 -1.54606717e+00 -4.34045682e-01  6.77976034e-01  1.78999311e+00
  2.86254087e+00  3.24947711e+00  2.86751743e+00  2.97373815e+00
  2.94146982e+00  3.27190468e+00  3.20598719e+00  2.32150164e+00
  1.17358710e+00 -4.97414234e-01 -1.65420124e+00 -3.01957474e+00
 -4.56501236e+00 -5.70963746e+00 -7.21208851e+00 -8.73341251e+00
 -7.63101928e-02  2.71879922e-01  6.20070047e-01  9.66987946e-01
  1.24905174e+00  1.52588553e+00  1.41625441e+00  8.72098733e-01
  1.12199925e-03  8.34842197e-01  1.81274989e+00  1.11190824e+00
  1.74840102e+00  1.16937530e+00  8.97250455e-01  4.34942011e-02
 -1.46049657e+00 -3.84271182e+00 -6.34674545e+00 -8.85086850e+00
  9.74053337e+00  8.92144408e+00  8.10099852e+00  7.25906532e+00
  6.32643199e+00  5.09641040e+00  3.55362258e+00  1.98420602e+00
  6.85940741e-01  5.98511245e-01 -8.01203685e-01 -3.27342643e+00
 -4.66766575e+00 -5.16608822e+00 -5.81461527e+00 -8.12814988e+00
 -9.50362132e+00 -9.62472786e+00 -6.75954545e+00 -4.56388103e+00
 -2.07985355e+01 -1.86582322e+01 -1.65179258e+01 -1.43776114e+01
 -1.22495566e+01 -1.00044481e+01 -6.94936552e+00 -3.15571244e+00
 -6.83342324e-01 -1.02818194e-01  1.01969331e+00  1.92613324e+00
  3.11352694e+00  5.92173395e+00  1.02611167e+01  1.33492367e+01
  1.55058559e+01  1.68501005e+01  1.52361036e+01  1.42782864e+01
 -1.35751360e+01 -9.22953574e+00 -5.12490525e+00 -2.66668185e+00
 -2.33292332e+00 -2.27900117e+00 -1.03164740e+00  5.53218556e-01
  1.37542991e+00  2.55506898e+00  4.89129004e+00  7.58580843e+00
  8.30895068e+00  7.05830164e+00  4.99238082e+00  2.85389442e+00
  7.15307122e-01 -1.42327784e+00 -3.56186058e+00 -5.70044246e+00
 -2.27490186e-01  1.47964960e+00  3.33276500e+00  4.69251363e+00
  5.18551196e+00  2.56009627e+00  2.90977172e-01  6.59828709e-02
  6.81832936e-01  1.21022234e+00  2.22115336e-01  2.95863033e-01
 -2.63064902e+00 -3.32530283e+00 -2.62562324e+00 -1.12625452e+00
 -2.13782397e+00 -3.32971684e+00 -4.65910215e+00 -5.99132783e+00
 -5.25815556e-01  3.43178574e-02 -7.63829097e-02 -1.15832091e-01
 -3.69530463e-01 -3.42965928e-01 -9.63633782e-02  8.80775054e-02
  2.89515168e-01 -1.91362513e-02  1.49448480e+00  1.76147772e+00
 -1.30364688e+00 -2.63712515e+00 -2.17674329e+00 -1.09896502e+00
 -5.17919820e-01  2.87946961e-01  1.36075578e-02 -7.24761609e-01
  3.14914872e+00  2.30462013e+00  7.79099439e-01 -1.36190390e+00
 -1.22760576e+00 -1.77727596e-01  7.16753146e-01  4.55090845e-01
 -6.42323534e-01  4.41957176e-01 -5.55970866e-01 -2.02140041e+00
 -2.67932465e+00 -1.62755452e+00 -1.32993125e-01  2.82097974e-01
 -9.51357359e-01 -4.87278858e-01 -8.76166121e-01 -1.42292163e+00
  4.21880734e+00  3.74295487e+00  3.26710216e+00  2.79124996e+00
  2.31539892e+00  1.83954928e+00  1.36370091e+00  8.87853453e-01
  4.12006304e-01 -6.38412509e-02 -5.39689994e-01 -1.01554070e+00
 -1.49139405e+00 -1.96725060e+00 -2.44311065e+00 -2.91897424e+00
 -3.39484101e+00 -3.87071021e+00 -4.34658055e+00 -4.82245071e+00
 -1.71027981e+00  1.36862463e+00  2.55594354e+00  7.48609141e-01
  7.25528276e-01  1.10748646e+00  1.57379450e+00  1.72247621e+00
  1.96502119e+00  2.08761576e+00  2.21091452e+00  2.65094354e+00
  3.63061308e+00  4.26409347e+00  3.09615694e+00  2.48522831e-01
 -3.25442847e+00 -6.79844863e+00 -1.03424661e+01 -1.38864820e+01
 -7.56233094e+00 -7.02343175e+00 -6.49050101e+00 -6.21560238e+00
 -6.99008875e+00 -6.47677855e+00 -4.11643686e+00 -1.33119553e+00
  7.75540859e-01  2.01639944e+00  6.22764102e-01  1.01280381e+00
 -2.44004087e-02 -3.02256672e-01  7.32615514e-01  3.14916230e+00
  5.60722092e+00  7.40545893e+00  8.87832779e+00  1.02969683e+01
  2.23163089e+00  3.90614155e+00  5.57468229e+00  7.03443124e+00
  6.92444616e+00  5.53557010e+00  3.09004888e+00 -3.48162761e-01
 -2.33045649e+00 -2.70494848e+00 -2.09355055e+00 -1.95401409e+00
 -2.12521344e+00 -2.37304982e+00 -2.70634352e+00 -2.73345066e+00
 -3.21538376e+00 -4.39203471e+00 -5.89797083e+00 -7.45813265e+00
  5.59364752e+00  2.04336552e+00 -6.21552537e-01  4.01967691e-01
  1.03030719e+00  9.27965092e-01  2.16042822e+00  2.44551477e+00
  1.80278846e+00  3.56727109e+00  3.92433963e+00  2.89577103e+00
  3.82150982e-01 -2.71924221e-01 -2.28076343e-01 -1.67546705e+00
 -3.99936089e+00 -6.39405497e+00 -8.80427651e+00 -1.12165658e+01
 -4.98096967e+00 -1.32257622e+00  1.83830713e+00  2.37908784e+00
  1.05827650e+00 -4.34636263e-01  6.47666103e-03 -3.01402451e-01
 -6.83322087e-02  5.94328221e-01 -3.81048599e-01 -2.34528927e-01
 -5.01916174e-01 -1.37878797e+00 -1.53615557e+00 -3.97257613e-01
  5.34191417e-01  9.73679474e-01 -2.97160581e-01 -1.58533549e+00
  6.08498581e+00  1.85963645e+00 -1.34475490e+00 -1.21397665e+00
  4.40078845e-01 -7.98136756e-01 -1.53012261e+00 -1.84898188e+00
 -2.65177990e+00 -1.60760480e+00 -3.17488356e+00 -4.51103434e+00
 -3.66061360e+00 -8.26680148e-01  2.92230987e-01  2.91473340e-01
  9.55190141e-01  1.69681535e+00  2.40344226e+00  3.10895547e+00
 -6.03576047e+00]"
85,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
86,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
87,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
88,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
89,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
90,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
91,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
92,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
93,"[ 1.88365640e+00  5.96272257e+00  1.00417861e+01  1.39746779e+01
  1.32863509e+01  8.83153557e+00  5.48860105e+00  3.69372914e-01
  8.25287530e-01 -1.40130810e+00 -1.70279276e+00 -4.64226923e+00
 -4.65109213e+00 -2.20182572e+00 -3.09822599e+00 -3.40865936e+00
 -7.29271995e+00 -1.09727871e+01 -1.32162570e+01 -1.55738441e+01
  3.46176504e+00  3.03413703e+00  2.60321734e+00  2.20506066e+00
  2.64162472e+00  1.75944761e+00  1.11809523e-01 -5.78723044e-01
 -1.19341452e+00 -6.24140768e-01 -1.66423633e+00 -1.62164262e+00
 -2.01582105e+00  2.71987383e-01 -7.94006508e-01  1.13475238e+00
  5.55982549e-01 -1.59672391e+00 -5.51759573e+00 -9.67127004e+00
 -2.91453252e+00 -2.83892705e+00 -2.76332122e+00 -2.81611723e+00
 -3.45596826e+00 -2.72922513e+00 -2.13341212e+00 -1.44299417e+00
 -1.27341500e+00 -1.46527907e+00 -1.50422537e+00 -1.22340744e+00
 -2.35374838e-01  2.77885103e-01  9.63875727e-01  1.68001857e+00
  2.70634689e+00  4.04029262e+00  4.62979097e+00  5.00019928e+00
 -1.95126297e+01 -1.44982197e+01 -9.48380696e+00 -4.54108698e+00
 -9.90868883e-01  1.77234956e+00  5.86052568e-01 -1.17633127e+00
  5.55476392e-01  2.29520637e+00  1.32550060e+00  2.70638208e+00
  2.40500959e+00  3.19845940e+00  4.06053865e+00  3.25559433e+00
  2.58801729e+00  2.95365359e+00  5.82296419e+00  9.17994781e+00
 -3.42328775e+00 -2.37932456e+00 -1.12908597e+00  5.22232090e-01
  1.84491780e+00  1.39824367e+00  1.18320128e-01  3.27674159e+00
  2.38867017e+00  1.54540987e+00  1.66493346e+00 -2.56514470e-01
 -1.20913457e-01 -1.07908887e+00 -1.53011952e+00 -1.80401301e+00
 -2.29767784e+00 -2.10120164e+00 -1.89362426e+00 -2.24240661e+00
  5.26312897e+00  3.33361650e+00  1.40410317e+00 -5.84668676e-01
 -3.02249742e+00 -5.90443373e+00 -4.20046525e+00 -4.84609062e+00
 -6.10699650e+00 -4.97591524e+00 -2.54759617e+00 -2.19405177e+00
 -1.39867843e+00  1.35386676e-01  1.80869574e+00  2.00073093e+00
  3.31440529e+00  3.30981559e+00  3.01570759e+00  4.69801233e+00
  9.42612802e+00  7.27714483e+00  7.22972252e+00  7.92832275e+00
  6.78958851e+00  7.42860192e+00  5.58645691e+00  5.32091592e+00
  3.19971758e+00  3.01900969e-01 -1.57415020e+00 -4.45470984e+00
 -7.67731461e+00 -9.15976236e+00 -7.18586699e+00 -6.19305619e+00
 -6.82380210e+00 -7.56484108e+00 -8.30587657e+00 -9.04691077e+00
  6.55852136e+00  4.45758620e+00  3.95659230e+00  2.93466430e+00
  4.43585207e+00  2.92543837e+00  1.10822210e+00 -1.07037963e+00
 -1.24050882e+00 -3.40197825e+00 -2.21344697e+00 -4.94804646e+00
 -4.36991878e+00 -4.10693368e+00 -3.33864710e+00 -4.13381726e-01
  1.11838757e+00 -4.18030958e-01 -3.29276205e+00 -6.17902051e+00
 -1.18336997e+00 -1.05828977e+00  1.19614568e+00 -2.88306554e-01
  2.39352386e-01  1.98473632e+00  3.01072089e+00  2.70254683e+00
  1.64068041e-01 -5.25969289e-01 -4.69835894e-01 -2.21420292e+00
 -5.95523784e-01 -4.70232214e-01 -1.36036258e+00 -1.86523611e+00
 -9.05022250e-01 -1.58396925e+00 -2.75709840e+00 -1.51794006e+00
 -1.97665355e+00 -3.78352098e-02  8.77045326e-01 -1.88255496e-01
  1.58439217e+00  3.70009261e-01 -7.12471899e-01  1.60493917e+00
 -1.11655151e+00 -2.06944986e+00  2.11404360e-01 -1.64679120e+00
 -6.68038775e-01 -6.58115098e-01 -1.46652380e+00 -1.83177198e+00
 -8.15917012e-01  5.34662247e-01  1.23757660e+00 -7.29444076e-01
 -2.56687283e-01 -2.69123181e-01 -2.81559122e-01 -2.93995432e-01
 -3.06432477e-01 -3.18870579e-01 -3.31310016e-01 -3.43751014e-01
 -3.56193754e-01 -3.68638364e-01 -3.81084919e-01 -3.93533439e-01
 -4.05983888e-01 -4.18436170e-01 -4.30890129e-01 -4.43345549e-01
 -4.55802145e-01 -4.68259570e-01 -4.80717408e-01 -4.93175278e-01
 -2.15773196e+00  8.58220790e-01 -2.60858769e-01  7.66637892e-01
  5.05067022e-01  1.62690955e+00  1.98325765e+00  1.88749210e+00
  9.61332805e-01  4.54457413e-01  5.71021053e-01  3.94282881e-01
 -1.53284411e+00 -3.39795197e+00 -2.25859975e+00  6.95485133e-01
  1.95489539e+00  9.64978635e-02 -3.42395186e+00 -7.22140965e+00
 -4.71537003e+00 -3.46572021e+00 -2.21611971e+00 -9.86243281e-01
 -1.12350665e+00  1.96559306e-01 -6.29782576e-03  1.65531072e+00
  3.94017483e-02  3.96204820e+00  3.06541224e+00  3.55510946e+00
  8.91046150e-01 -6.86373068e-01 -1.47462902e+00  4.75480590e-01
 -2.06406483e-01 -1.17945114e+00 -2.15249688e+00 -3.12554255e+00
 -6.02550744e+00 -3.82112923e+00 -1.61680014e+00  5.77188727e-01
  1.74783760e+00  3.79340160e+00  3.26027684e+00  1.97850208e+00
  1.90093487e+00  2.16757920e-01 -1.30098326e+00 -5.08403441e-01
  3.49889968e-01  3.89985257e+00  5.56269491e+00  4.59779609e+00
  5.97189823e-01 -3.48594388e+00 -7.56909656e+00 -1.16522479e+01
  7.07109532e+00  3.14689704e+00  1.87752480e+00  2.95248840e+00
  2.21012353e+00  9.22941383e-01  6.58680825e-01  1.89560960e+00
  1.44293500e+00  3.75788630e-01  1.01973417e+00  2.58870186e-01
 -2.93596148e+00 -1.47172667e+00 -8.52440976e-02 -8.93629166e-01
 -2.32856943e+00 -4.98748866e+00 -7.89611663e+00 -1.07317432e+01
  1.16590327e+00  2.50597246e-01 -1.91604743e-01 -2.11115217e+00
 -3.89253502e+00 -2.40263329e-01 -1.39790756e-01 -1.45645261e+00
  1.76932526e-01 -8.72461519e-01 -9.87710220e-01  9.66045155e-01
  1.23210321e-01 -5.49801422e-01 -2.01519624e+00 -7.23168495e-01
  1.03744097e+00  5.78224652e-01 -5.41460335e-01  1.92545311e+00
 -3.74948441e+00 -2.11344429e+00 -2.88379923e+00 -3.58817849e+00
 -2.27507972e+00 -2.60361300e+00 -2.68078251e+00 -3.05178566e+00
 -2.49083597e+00 -8.70056293e-01 -3.17733402e+00 -1.74683355e+00
 -1.56596965e+00 -3.13037201e-01 -1.44689951e+00 -2.72190661e+00
  9.59129961e-01  5.06013296e+00  9.53921042e+00  1.42227771e+01
 -7.49779016e+00]"
94,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
95,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
96,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
97,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
98,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
99,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
100,"[-13.69572281  -6.91895459  -0.58679687   6.40106519  12.25976569
 -10.67359862  -6.18146359  -0.93757364   4.56307272  10.68892095
   8.30946605   3.76467133  -0.80354383  -4.78194965  -9.02928541
  -4.70070744  -1.71603297  -0.07772024   0.82070341   3.13311498
   0.66010136   0.59731499   0.17482561  -1.38647333  -2.58641185
  -1.98778965  -1.5859635   -1.35187409  -0.69538156   3.08036795
  -8.88892491  -5.86169617  -1.09276209   4.095407     9.2073343
   6.97036563   3.69507381  -0.37721982  -3.83075176  -8.99810815
   0.87164168  -0.17491151   0.78225555  -0.90806778  -3.11155687
   0.78019203  -0.59484554  -1.29147235  -1.0857265   -0.34878763
  14.51727429   7.00457349  -0.50812857  -8.0208306  -15.53353127
  -0.78667436   2.85907018   2.37665051  -1.52130791  -5.46838244
   9.2124479    4.87025444   0.3950889   -5.40747948 -11.61094981
 -12.61700751  -5.78836296   0.46846844   5.29055929  10.1057029
   0.63126285  -0.78318983  -1.95223794  -0.54643291   0.10995913
   1.10665778  -1.21317122  -0.12304779   0.59607632  -2.90715616
  -1.69031479  -0.3474814    0.66291415   0.20862832  -1.37438755
  -2.54064877]"
101,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
102,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
103,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
104,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
105,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
106,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
107,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
108,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
109,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
110,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
111,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
